		Sample	Sample ID	Sample Weight [mg]	Area [mV.s]	Area [mV.s]	Weight [mg]	Weight [mg]	Weight [%]	Weight [%]	Carbon Response Ratio	Carbon Response Ratio	Carbon Weight Ratio	Carbon Weight Ratio
Eu.E2.4.10-20.04_9_10_2018 5_55_37 PM_46	Colibrick - 1	Eu.E2.4.10-20.04	F9	18.926	12.465	815.437	0.013	0.26	0.07	1.372	0.015	1	19.532	1
Eu.E2.4.20-40.04_9_10_2018 6_00_39 PM_47	Colibrick - 1	Eu.E2.4.20-40.04	E8	19.911	6.702	523.935	0.008	0.159	0.04	0.796	0.013	1	19.745	1
Calib\std 7_9_10_2018 6_05_41 PM_48	Colibrick - 1	std 7	H3	1.043	53.523	2212.965	0.051	0.744	4.868	71.331	0.024	1	14.653	1
TM.E.1.20-40.16_9_10_2018 6_10_52 PM_49	Colibrick - 1	TM.E.1.20-40.16	D8	18.781	4.961	415.954	0.006	0.121	0.034	0.645	0.012	1	18.808	1
TM.E.2.20-40.16_9_10_2018 6_15_54 PM_50	Colibrick - 1	TM.E.2.20-40.16	D9	18.49	5.099	463.868	0.007	0.138	0.036	0.745	0.011	1	20.977	1
TM.E.3.20-40.16_9_10_2018 6_20_56 PM_51	Colibrick - 1	TM.E.3.20-40.16	D10	19.721	8.243	521.711	0.009	0.158	0.048	0.8	0.016	1	16.72	1
TM.E.4.20-40.16_9_10_2018 6_25_58 PM_52	Colibrick - 1	TM.E.4.20-40.16	D11	19.056	5.76	318.904	0.007	0.087	0.038	0.459	0.018	1	12.203	1
TM.E.1.60-100.16_9_10_2018 6_31_00 PM_53	Colibrick - 1	TM.E.1.60-100.16	D12	20.262	3.706	288.298	0.005	0.077	0.026	0.379	0.013	1	14.52	1
TM.E.2.60-100.16_9_10_2018 6_36_02 PM_54	Colibrick - 1	TM.E.2.60-100.16	E1	20.169	4.045	300.534	0.006	0.081	0.028	0.402	0.013	1	14.477	1
TM.E.3.60-100.16_9_10_2018 6_41_05 PM_55	Colibrick - 1	TM.E.3.60-100.16	E2	19.248	4.165	270.175	0.006	0.071	0.03	0.367	0.015	1	12.357	1
TM.E.4.60-100.16_9_10_2018 6_46_07 PM_56	Colibrick - 1	TM.E.4.60-100.16	E3	19.944	3.618	212.575	0.005	0.051	0.026	0.254	0.017	1	9.711	1
Eu.E2.1.20-40.16_9_10_2018 6_56_18 PM_58	Colibrick - 1	Eu.E2.1.20-40.16	C4	20.103	11.44	746.74	0.012	0.236	0.061	1.173	0.015	1	19.083	1
TM.A.4.60-100.16_9_10_2018 7_01_20 PM_59	Colibrick - 1	TM.A.4.60-100.16	C5	19.195	4.268	272.102	0.006	0.071	0.03	0.371	0.016	1	12.271	1
TM.A.3.60-100.16_9_10_2018 7_06_22 PM_60	Colibrick - 1	TM.A.3.60-100.16	C6	19.891	3.918	252.843	0.005	0.065	0.028	0.325	0.015	1	11.769	1
Calib\std 8_9_10_2018 7_11_24 PM_61	Colibrick - 1	std 8	H4	1.834	96.087	3799.317	0.09	1.294	4.887	70.546	0.025	1	14.434	1
TM.N.1.10-20.16_9_10_2018 7_16_37 PM_62	Colibrick - 1	TM.N.1.10-20.16	E9	20.315	9.64	537.142	0.011	0.163	0.053	0.803	0.018	1	15.229	1
TM.N.2.10-20.16_9_10_2018 7_21_38 PM_63	Colibrick - 1	TM.N.2.10-20.16	E10	18.882	9.32	512.054	0.01	0.154	0.055	0.818	0.018	1	14.821	1
TM.N.3.20-40.16_9_10_2018 7_26_41 PM_64	Colibrick - 1	TM.N.3.20-40.16	F5	20.159	7.517	397.677	0.009	0.115	0.044	0.569	0.019	1	13.084	1
JP.A.E.4.40-60.16_9_10_2018 7_31_42 PM_65	Colibrick - 1	JP.A.E.4.40-60.16	B9	18.335		144.216		0.027		0.147		1		1
JP.A.E.3.40-60.16_9_10_2018 7_36_44 PM_66	Colibrick - 1	JP.A.E.3.40-60.16	B10	21.919		193.641		0.044		0.201		1		1
JP.A.L.4.40-60.16_9_10_2018 7_41_46 PM_67	Colibrick - 1	JP.A.L.4.40-60.16	B11	20.979	3.564	231.158	0.005	0.057	0.025	0.272	0.015	1	11.051	1
Eu.N.1.10-20.16_9_10_2018 7_46_49 PM_68	Colibrick - 1	Eu.N.1.10-20.16	H6	19.189	17.59	891.483	0.018	0.286	0.094	1.49	0.02	1	15.912	1
