"","run.date","Wt.mg","ID","N","N.mg","N.area","C","C.mg","C.area","site","LU","stand","position","year","rep","inc_from","inc_to","depth","line","Nadj","CNevalday"
"44","04-Aug-20174414_31.prm",27.234,"Bp.E1.T.4.60-100.16",0.1154,0.0314,12.4923,1.2013,0.3271,216.9773,"Bp","E","Bp.E1","T","16",4,60,100,80,40,0.0984231043857114,"Aug-04"
"45","04-Aug-20174514_37.prm",27.292,"Bp.E1.L.4.60-100.16",0.1125,0.0307,12.3186,1.1646,0.3179,210.9255,"Bp","E","Bp.E1","L","16",4,60,100,80,41,0.0955981391046796,"Aug-04"
"46","04-Aug-20174614_43.prm",27.295,"Bp.E1.Ee1.4.60-100.16",0.1105,0.0302,12.1878,1.1713,0.3197,212.1338,"Bp","E","Bp.E1","Ee1","16",4,60,100,80,42,0.0935557945125093,"Aug-04"
"47","04-Aug-20174714_49.prm",26.955,"Bp.E1.Ee2.4.60-100.16",0.112,0.0302,12.1941,1.1574,0.312,207.106,"Bp","E","Bp.E1","Ee2","16",4,60,100,80,43,0.0944808348859957,"Aug-04"
"48","04-Aug-20174814_54.prm",26.822,"BO.P.1.20-40.16",0.1391,0.0373,13.9116,1.0529,0.2824,187.8478,"BO","P","BO.P",NA,"16",1,20,40,30,44,0.11691651535849,"Aug-04"
"49","04-Aug-20174915_00.prm",27.839,"BO.P.2.20-40.16",0.1443,0.0402,14.6015,1.1003,0.3063,203.4163,"BO","P","BO.P",NA,"16",2,20,40,30,45,0.120849206391771,"Aug-04"
"50","04-Aug-20175015_06.prm",26.034,"BO.P.3.20-40.16",0.1373,0.0357,13.5362,1.0855,0.2826,187.9833,"BO","P","BO.P",NA,"16",3,20,40,30,46,0.11457303351498,"Aug-04"
"51","04-Aug-20175115_12.prm",28.439,"BO.P.4.20-40.16",0.1364,0.0388,14.2697,1.0949,0.3114,206.7154,"BO","P","BO.P",NA,"16",4,20,40,30,47,0.113413896523192,"Aug-04"
"52","04-Aug-20175215_17.prm",27.334,"BO.P.1.40-60.16",0.1236,0.0338,13.0637,0.9117,0.2492,166.2312,"BO","P","BO.P",NA,"16",1,40,60,50,48,0.102403778597254,"Aug-04"
"53","04-Aug-20175315_23.prm",27.498,"BO.P.3.40-60.16",0.1246,0.0343,13.178,0.8616,0.2369,158.2509,"BO","P","BO.P",NA,"16",3,40,60,50,49,0.102864781276291,"Aug-04"
