"","run.date","ID","Wt.mg","N.mg","C.mg","N","C","site","LU","stand","position","year","rep","inc_from","inc_to","depth","line","Nadj","CNevalday"
"58","_7_20_2018 2_09_32 PM_57","JP.N.4.60-100.16",27.936,0.007,0.093,0.026,0.333,"JP","N","JP.N",NA,"16",4,60,100,80,52,0.026,"7-20"
"59","_7_20_2018 2_14_34 PM_58","BO.P.1.10-20.16",26.587,0.037,0.418,0.138,1.573,"BO","P","BO.P",NA,"16",1,10,20,15,53,0.138,"7-20"
"711","_7_25_2018 9_53_44 AM_6","JP.E2.2.60-100.16",28.558,0.006,0.069,0.021,0.24,"JP","E","JP.E2",NA,"16",2,60,100,80,1,0.021,"7-25"
"811","_7_25_2018 9_58_45 AM_7","BO.E.3.20-40.16",25.903,0.029,0.313,0.112,1.21,"BO","E","BO.E",NA,"16",3,20,40,30,2,0.112,"7-25"
"96","_7_25_2018 10_03_46 AM_8","BO.E.2.20-40.16",25.095,0.027,0.326,0.109,1.298,"BO","E","BO.E",NA,"16",2,20,40,30,3,0.109,"7-25"
"102","_7_25_2018 10_08_47 AM_9","BO.E.4.20-40.16",25.328,0.027,0.288,0.108,1.136,"BO","E","BO.E",NA,"16",4,20,40,30,4,0.108,"7-25"
"112","_7_25_2018 10_13_48 AM_10","BO.E.1.40-60.16",28.75,0.032,0.372,0.11,1.294,"BO","E","BO.E",NA,"16",1,40,60,50,5,0.11,"7-25"
"122","_7_25_2018 10_18_49 AM_11","BO.E.2.40-60.16",26.38,0.03,0.342,0.115,1.297,"BO","E","BO.E",NA,"16",2,40,60,50,6,0.115,"7-25"
"132","_7_25_2018 10_23_50 AM_12","BO.E.3.40-60.16",27.994,0.028,0.263,0.1,0.941,"BO","E","BO.E",NA,"16",3,40,60,50,7,0.1,"7-25"
"142","_7_25_2018 10_28_51 AM_13","BO.E.1.20-40.16",26.941,0.034,0.364,0.127,1.351,"BO","E","BO.E",NA,"16",1,20,40,30,8,0.127,"7-25"
"152","_7_25_2018 10_33_52 AM_14","BO.E.4.40-60.16",25.421,0.024,0.233,0.093,0.915,"BO","E","BO.E",NA,"16",4,40,60,50,9,0.093,"7-25"
"162","_7_25_2018 10_38_53 AM_15","BO.E.1.60-100.16",28.431,0.022,0.21,0.078,0.738,"BO","E","BO.E",NA,"16",1,60,100,80,10,0.078,"7-25"
"172","_7_25_2018 10_43_55 AM_16","BO.E.2.60-100.16",28.149,0.021,0.224,0.073,0.797,"BO","E","BO.E",NA,"16",2,60,100,80,11,0.073,"7-25"
"202","_7_25_2018 10_59_01 AM_19","BO.E.3.60-100.16",27.072,0.017,0.14,0.064,0.516,"BO","E","BO.E",NA,"16",3,60,100,80,14,0.064,"7-25"
