McMahon_6-27-18
Element	Method	Eval Date	Mass coefficient.	Na	Na	Na	Na	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Sc	Sc	Sc	Sc	Ti	Ti	Ti	Ti	V	V	V	V	Cr	Cr	Cr	Cr	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Co	Co	Co	Co	Ni	Ni	Ni	Ni	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Ga	Ga	Ga	Ga	Ge	Ge	Ge	Ge	As	As	As	As	Se	Se	Se	Se	Br	Br	Br	Br	Rb	Rb	Rb	Rb	Sr	Sr	Sr	Sr	Y	Y	Y	Y	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Tc	Tc	Tc	Tc	Ru	Ru	Ru	Ru	Rh	Rh	Rh	Rh	Pd	Pd	Pd	Pd	Ag	Ag	Ag	Ag	Cd	Cd	Cd	Cd	In	In	In	In	Sn	Sn	Sn	Sn	Sb	Sb	Sb	Sb	Te	Te	Te	Te	I	I	I	I	Cs	Cs	Cs	Cs	Ba	Ba	Ba	Ba	La	La	La	La	Hf	Hf	Hf	Hf	Ta	Ta	Ta	Ta	W	W	W	W	Re	Re	Re	Re	Os	Os	Os	Os	Ir	Ir	Ir	Ir	Pt	Pt	Pt	Pt	Au	Au	Au	Au	Hg	Hg	Hg	Hg	Tl	Tl	Tl	Tl	Pb	Pb	Pb	Pb	Bi	Bi	Bi	Bi	Po	Po	Po	Po	At	At	At	At	U	U	U	U	
JP.A.E.4.10-20.16	TQ Powders	7/31/2018 1:44:01 PM	9.0478	< 0.010	(0.0)	1.5669	0.0100	< 0.010	(0.0055)	4.8748	0.010	13.89	0.03	726.9070	0.0053	24.11	0.03	2322.0091	0.00001	0.01280	0.00046	5.5743	0.0015	0.01640	0.00047	5.9007	0.00047	0.00456	0.00025	4.3991	0.00058	0.02122	0.00026	49.1064	0.00021	0.00267	0.00009	13.1197	0.00016					3226	5	2768.2974	0.1	75.5	1.9	97.9988	3.4	24.1	0.3	56.4498	0.5	55.0	0.4	161.0814	0.4	11830	20	7018.8360	0.1	< 3.0	(0.0)	0.8734	3.0	16.9	0.6	23.9183	1.0	4.0	0.5	7.3442	0.7	6.7	0.3	17.2092	0.5	9.0	0.3	31.3021	0.5	1.3	0.3	3.3545	0.5	1.9	0.2	10.2719	0.3	< 0.5	(0.0)	0.0000	0.5	3.8	0.1	26.4986	0.2	0.2	0.1	4.7737	0.2	4.8	0.1	65.1748	0.2	3.9	0.1	58.5650	0.3	272.9	1.1	586.4869	0.2	8.3	0.3	19.8894	0.7	2.8	0.3	10.1576	0.9					0.9	0.2	3.0777	0.5	< 0.4	(0.4)	1.0948	0.4	< 0.5	(0.0)	2.0193	0.5	4.6	0.1	38.3798	0.8	2.9	0.3	7.1285	0.7	5.0	0.2	18.9284	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	1.4233	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	5.6809	0.7	< 1.0	(0.0)	9.1357	1.0	< 1.5	(0.0)	24.4755	1.5	< 2.0	(0.0)	15.8385	2.0	< 2.0	(0.0)	4.0989	2.0	< 1.6	(0.0)	21.3974	1.6	< 1.2	(0.0)	2.0048	1.2																	2.1	0.4	4.5455	0.7	< 0.7	(0.0)	0.8535	0.7	< 0.7	(0.0)	0.0000	0.7	3.9	0.3	12.0782	0.4	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	1.8956	0.4	
Eu.E1.4.60-100.04	TQ Powders	7/31/2018 1:29:34 PM	9.3394	< 0.010	(0.0)	1.7508	0.0100	0.0978	0.0033	6.2320	0.010	19.46	0.04	1071.1517	0.0033	20.38	0.03	1985.8504	0.00001	< 0.00030	(0.0)	8.0278	0.00030	0.02703	0.00056	10.6041	0.00047	0.00472	0.00025	4.7575	0.00057	0.03177	0.00033	80.5730	0.00028	0.03820	0.00027	167.3000	0.00019					10490	10	9918.7281	0.1	56.7	3.2	81.7908	6.0	38.7	0.4	102.3241	0.5	42.0	0.4	132.2515	0.5	21180	20	13428.7862	0.1	< 3.0	(0.0)	0.0000	3.0	23.0	0.7	32.2343	1.0	< 0.1	(0.1)	0.1585	0.1	33.2	0.5	84.4326	0.5	37.4	0.5	123.0926	0.6	< 0.5	(0.0)	0.0000	0.5	5.3	0.3	27.8166	0.3	0.9	0.2	5.4851	0.3	10.8	0.2	75.3225	0.2	0.9	0.1	14.3099	0.2	14.1	0.1	185.7434	0.2	7.2	0.2	99.9791	0.4	810.3	1.9	1711.3250	0.1	36.8	0.5	77.4527	0.8	5.2	0.4	16.0691	1.3					0.8	0.2	2.7471	0.5	< 0.5	(0.0)	0.0000	0.5	0.6	0.1	3.3427	0.5	2.5	0.1	34.7394	0.8	2.9	0.3	7.1594	0.7	3.9	0.2	15.8382	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	2.6012	0.5	< 0.5	(0.0)	0.0000	0.5	11.4	0.6	42.2878	2.9	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	30.3150	1.5	< 2.0	(0.0)	32.3935	2.0	23.3	1.0	18.8650	2.2	< 1.6	(0.0)	23.5680	1.6	< 1.2	(0.0)	3.2657	1.2																	2.3	0.4	4.9250	0.7	< 0.7	(0.0)	5.3477	0.7	< 0.7	(0.0)	0.0000	0.7	10.7	0.4	32.6993	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	10.2304	0.4	
JP.A.E.3.10-20.16	TQ Powders	7/31/2018 12:59:23 PM	8.8294	< 0.010	(0.0)	1.7590	0.0100	< 0.010	(0.0)	4.8147	0.010	13.89	0.03	724.0746	0.0053	24.10	0.03	2322.3739	0.00001	0.01698	0.00059	5.8509	0.0015	0.01724	0.00048	6.2015	0.00047	0.00454	0.00025	4.4021	0.00058	0.01958	0.00025	45.6912	0.00021	0.00238	0.00009	11.7011	0.00016					2779	5	2409.0830	0.1	67.2	1.7	88.5322	3.1	19.0	0.3	45.3138	0.5	42.8	0.4	126.7131	0.4	10050	10	6036.4395	0.1	< 3.0	(0.0)	0.8239	3.0	16.9	0.6	24.3895	0.9	6.1	0.5	11.4155	0.7	5.6	0.3	14.6317	0.5	8.4	0.3	29.9583	0.5	1.0	0.3	2.6702	0.5	1.0	0.2	5.6482	0.3	< 0.5	(0.0)	0.1985	0.5	2.5	0.1	18.1457	0.2	0.3	0.1	4.9136	0.2	4.2	0.1	58.8346	0.2	3.7	0.1	57.1967	0.3	236.7	1.0	519.4848	0.3	7.0	0.3	17.6904	0.7	1.3	0.2	6.5117	0.8					1.0	0.2	3.3841	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	2.8	0.1	35.2831	0.8	2.4	0.3	6.0230	0.7	4.4	0.2	17.2872	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	1.1484	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	4.7158	0.7	< 1.0	(0.0)	6.5728	1.0	< 1.5	(0.0)	27.8673	1.5	< 2.0	(0.0)	21.6121	2.0	< 2.0	(0.0)	3.3055	2.0	< 1.6	(0.0)	16.9744	1.6	< 1.2	(0.0)	3.1666	1.2																	2.0	0.3	4.5265	0.7	< 0.7	(0.0)	0.0000	0.7	< 0.2	(0.2)	0.6651	0.2	2.9	0.3	9.1324	0.4	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	3.5338	0.4	
JP.A.E.2.10-20.16	TQ Powders	7/31/2018 12:45:36 PM	9.0744	< 0.010	(0.0)	1.7756	0.0100	0.0826	0.0029	5.9972	0.011	15.47	0.04	841.6981	0.0052	24.24	0.03	2424.0065	0.00001	0.01845	0.00055	7.7823	0.0016	0.01747	0.00048	6.6992	0.00051	0.00392	0.00024	4.1135	0.00059	0.03709	0.00033	90.1701	0.00021	0.00404	0.00010	20.9323	0.00018					4133	6	3772.8776	0.1	105.9	2.2	146.8524	3.7	22.7	0.4	57.7257	0.3	87.7	0.5	272.1004	0.4	17400	20	10910.9259	0.1	< 3.0	(0.0)	1.4230	3.0	22.3	0.6	31.5229	1.0	9.0	0.5	16.5709	0.7	8.7	0.3	22.4589	0.5	13.2	0.3	45.3613	0.5	< 0.5	(0.0)	0.0000	0.5	1.6	0.2	9.0331	0.3	< 0.5	(0.0)	0.0000	0.5	3.6	0.1	25.8721	0.2	0.6	0.1	10.9717	0.2	16.2	0.1	219.0622	0.2	11.4	0.2	155.4492	0.3	363.4	1.3	786.8400	0.1	11.0	0.3	25.4236	0.8	3.2	0.3	11.0944	1.0					0.8	0.2	2.7182	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	3.6	0.1	36.7517	0.8	2.3	0.3	5.7071	0.7	4.0	0.2	16.3587	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	2.1771	0.5	< 0.5	(0.0)	1.3038	0.5	< 0.7	(0.0)	7.5766	0.7	< 1.0	(0.0)	0.0000	1.0	14.3	0.5	98.0291	9.2	< 2.0	(0.0)	31.2906	2.0	3.1	0.4	6.1870	2.1	< 1.6	(0.0)	21.0359	1.6	< 1.2	(0.0)	2.8460	1.2																	2.8	0.4	6.0839	0.7	< 0.7	(0.0)	2.0108	0.7	< 0.7	(0.0)	0.0000	0.7	9.0	0.3	28.0685	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	1.0415	0.4	
JP.A.E.1.10-20.16	TQ Powders	7/31/2018 12:31:48 PM	8.9002	< 0.010	(0.0)	1.8410	0.0100	0.0568	0.0021	5.6237	0.011	14.45	0.03	781.3540	0.0059	25.23	0.04	2517.8401	0.00001	0.01781	0.00057	6.7755	0.0016	0.01706	0.00046	6.6119	0.00049	0.00249	0.00021	3.1376	0.00059	0.03087	0.00030	73.5462	0.00021	0.00351	0.00010	17.2804	0.00017					3135	5	2803.6441	0.1	80.1	1.9	109.6432	0.5	19.1	0.4	47.5311	0.3	249.2	0.8	757.9275	0.4	13090	20	8064.6300	0.1	< 3.0	(0.0)	0.4763	3.0	20.1	0.6	28.8036	1.0	6.3	0.5	11.7160	0.7	6.0	0.3	15.7193	0.5	10.6	0.3	37.4284	0.5	< 0.5	(0.0)	0.0000	0.5	0.5	0.2	3.3648	0.3	< 0.5	(0.0)	0.0000	0.5	3.1	0.1	22.3172	0.2	0.4	0.1	6.9931	0.2	9.7	0.1	133.2647	0.2	9.5	0.2	133.1026	0.3	293.2	1.1	643.7846	0.1	8.4	0.3	20.4924	0.7	1.9	0.2	7.9563	0.9					0.7	0.2	2.4556	0.5	< 0.5	(0.0)	0.0000	0.5	0.5	0.1	3.0573	0.4	3.0	0.1	35.6192	0.8	2.9	0.3	7.2442	0.7	4.2	0.2	16.8703	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	3.5975	0.7	< 1.0	(0.0)	0.0000	1.0	143.6	2.3	248.1186	9.1	< 2.0	(0.0)	22.4937	2.0	< 2.1	(1.0)	4.9155	2.1	< 1.6	(0.0)	21.6584	1.6	< 1.2	(0.0)	2.0878	1.2																	2.0	0.4	4.5303	0.7	< 0.7	(0.0)	0.0000	0.7	< 0.1	(0.1)	0.5067	0.1	14.0	0.3	44.2696	0.4	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	1.7534	0.4	
JP.A.L.3.10-20.16	TQ Powders	7/31/2018 12:17:58 PM	8.9020	< 0.010	(0.0)	1.8469	0.0100	0.01532	0.00060	5.0198	0.010	13.43	0.03	717.6127	0.0060	25.59	0.04	2528.3869	0.00001	0.01754	0.00058	6.4049	0.0016	0.01823	0.00049	6.5828	0.00048	0.00267	0.00021	3.2228	0.00059	0.02072	0.00026	48.3525	0.00021	0.00234	0.00009	11.7273	0.00016					3067	5	2657.6416	0.1	71.2	1.8	93.2314	3.3	19.1	0.3	45.9894	0.5	55.3	0.4	163.5952	0.4	10820	20	6489.5953	0.1	< 3.0	(0.0)	0.0000	3.0	16.3	0.6	23.3844	1.0	3.0	0.5	5.4899	0.7	7.4	0.3	19.4189	0.5	8.1	0.3	28.7349	0.5	< 0.5	(0.0)	0.0000	0.5	1.7	0.2	9.1366	0.3	< 0.5	(0.0)	0.0000	0.5	2.5	0.1	17.8148	0.2	< 0.5	(0.0)	2.6104	0.5	4.8	0.1	66.7358	0.2	4.2	0.1	63.9460	0.3	273.4	1.1	596.3058	0.2	7.4	0.3	18.5540	0.7	1.8	0.2	7.7003	0.9					0.7	0.2	2.4201	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.1)	2.1390	0.5	2.8	0.1	35.3234	0.8	2.8	0.3	6.8936	0.7	4.1	0.2	16.5861	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	4.7546	0.7	< 1.0	(0.0)	7.0525	1.0	< 1.5	(0.0)	25.7042	1.5	< 2.0	(0.0)	10.5970	2.0	2.8	0.3	5.9582	2.1	< 1.6	(0.0)	21.6508	1.6	< 1.2	(0.0)	2.4211	1.2																	2.9	0.3	6.4364	0.7	< 0.7	(0.0)	1.4846	0.7	< 0.7	(0.0)	0.0000	0.7	3.7	0.3	11.7371	0.4	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	5.7988	0.4	
JP.A.L.2.10-20.16	TQ Powders	7/31/2018 12:04:12 PM	9.1274	< 0.010	(0.0)	1.6680	0.0100	0.0398	0.0015	5.4966	0.0088	10.03	0.03	677.7181	0.0051	22.49	0.03	2573.8776	0.00001	0.00899	0.00031	6.1701	0.0015	0.01392	0.00042	5.4779	0.00045	0.00355	0.00022	3.9502	0.00054	0.02341	0.00026	59.1911	0.00019	0.00249	0.00008	13.1606	0.00015					2558	4	2429.0605	0.1	68.9	1.6	99.7174	2.8	18.3	0.3	49.2806	0.5	49.0	0.4	158.7919	0.4	9789	14	6434.0143	0.1	< 3.0	(0.0)	0.0098	3.0	15.6	0.5	24.2013	0.9	3.7	0.5	7.3254	0.6	6.0	0.3	16.8563	0.5	7.9	0.3	30.2566	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.4234	0.5	< 0.5	(0.0)	0.0000	0.5	2.3	0.1	18.0082	0.2	0.5	0.1	8.4971	0.2	8.9	0.1	130.6952	0.2	7.8	0.2	116.5761	0.3	335.0	1.2	772.9174	0.1	8.7	0.3	22.2979	0.7	2.6	0.3	9.8953	0.9					0.7	0.1	2.5195	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	1.3754	0.5	3.0	0.1	35.8203	0.8	2.2	0.2	5.8544	0.6	3.7	0.2	16.0175	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	9.5180	0.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	73.0525	1.5	< 2.0	(0.0)	26.0102	2.0	< 1.9	(0.6)	4.7162	1.9	< 1.6	(0.0)	22.1140	1.6	< 1.2	(0.0)	2.1267	1.2																	2.8	0.4	6.0159	0.7	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.2363	0.7	6.1	0.3	20.6962	0.4	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	6.2128	0.4	
JP.A.L.1.10-20.16	TQ Powders	7/31/2018 11:50:23 AM	9.0107	< 0.010	(0.0)	1.5161	0.0100	< 0.011	(0.0076)	4.9056	0.011	12.15	0.03	642.6148	0.0064	25.84	0.04	2541.1966	0.00001	0.00561	0.00019	6.2166	0.0016	0.01568	0.00046	5.5984	0.00048	0.00259	0.00021	3.1440	0.00058	0.02513	0.00028	57.4186	0.00021	0.00324	0.00010	14.7439	0.00017					2805	5	2380.6737	0.1	72.1	1.8	92.8185	3.2	18.7	0.3	46.4383	0.5	52.4	0.4	151.7600	0.4	10170	20	5972.3985	0.1	< 3.0	(0.0)	0.0000	3.0	18.6	0.6	25.9489	1.0	3.9	0.5	7.0653	0.7	6.1	0.3	15.5634	0.5	8.2	0.3	28.7256	0.5	0.8	0.3	1.9763	0.5	1.1	0.2	5.9190	0.3	< 0.5	(0.0)	0.0000	0.5	2.3	0.1	16.4330	0.2	0.2	0.1	3.9526	0.2	7.2	0.1	98.2618	0.2	7.5	0.2	105.3468	0.3	409.9	1.3	886.9687	0.1	9.3	0.3	22.2344	0.7	3.0	0.3	10.7059	1.0					0.9	0.2	3.0364	0.5	< 0.3	(0.3)	0.7379	0.3	< 0.5	(0.0)	1.8629	0.5	2.8	0.1	35.2629	0.8	2.8	0.3	6.9316	0.7	3.9	0.2	16.0649	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	2.2138	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	10.4761	0.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	64.9612	1.5	< 2.0	(0.0)	17.5165	2.0	2.8	0.3	6.0376	2.1	< 1.6	(0.0)	22.1642	1.6	< 1.2	(0.0)	2.5890	1.2																	2.0	0.3	4.5159	0.7	< 0.7	(0.0)	0.0000	0.7	< 0.2	(0.2)	0.5435	0.2	3.7	0.3	11.6108	0.4	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	3.0336	0.4	
Eu.E1.Ee1.4.0-10.16	TQ Powders	7/31/2018 11:36:35 AM	8.7710	< 0.010	(0.0)	1.9113	0.0100	0.0739	0.0026	5.8628	0.011	15.62	0.04	848.5365	0.0051	23.35	0.03	2336.9922	0.00001	0.03894	0.00077	13.1181	0.0015	0.06487	0.00079	24.3722	0.00021	0.00521	0.00029	5.0266	0.00058	0.04082	0.00036	101.1907	0.00026	0.2624	0.0007	1089.0086	0.00001					8205	9	7541.4690	0.1	< 1.0	(0.0)	0.0000	1.0	31.7	0.3	79.9255	0.4	42.5	0.4	131.2824	0.4	11680	20	7292.9192	0.1	< 3.0	(0.0)	0.0000	3.0	18.5	0.6	27.0649	0.9	2.8	0.5	5.4069	0.7	18.1	0.4	48.6212	0.5	18.4	0.4	64.4956	0.5	< 0.5	(0.0)	0.0000	0.5	2.8	0.2	15.1311	0.3	0.8	0.1	5.2643	0.2	5.6	0.1	41.3000	0.2	0.5	0.1	8.0849	0.2	15.2	0.1	213.6989	0.2	4.4	0.1	67.9372	0.3	477.0	1.4	1056.8968	0.1	20.1	0.4	45.5786	0.7	3.6	0.3	12.3705	1.0					0.9	0.2	3.0467	0.5	0.6	0.2	1.7253	0.5	0.4	0.1	2.8387	0.3	2.2	0.1	34.2115	0.8	2.6	0.3	6.6930	0.7	4.3	0.2	17.2159	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.7464	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	9.3604	0.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	24.1046	1.5	< 2.0	(0.0)	21.8410	2.0	13.9	0.8	12.8197	2.0	< 1.6	(0.0)	20.3140	1.6	0.7	0.1	4.0221	0.7																	3.0	0.4	6.7306	0.7	< 0.7	(0.0)	2.5456	0.7	< 0.7	(0.0)	0.0000	0.7	3.2	0.3	10.3454	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	5.5596	0.4	
Eu.E1.L.4.0-10.16	TQ Powders	7/31/2018 11:22:43 AM	8.6700	< 0.010	(0.0)	1.8135	0.0100	0.0655	0.0022	5.7036	0.010	16.29	0.04	837.0131	0.0038	21.20	0.03	1996.0527	0.00001	0.05260	0.00100	12.6761	0.0014	0.05232	0.00072	19.1781	0.00025	0.00753	0.00030	6.4371	0.00057	0.04240	0.00036	101.7344	0.00024	0.1029	0.0004	414.2104	0.00016					7632	9	6814.4782	0.1	< 1.0	(0.0)	0.0000	1.0	28.7	0.3	68.3846	0.3	31.7	0.3	95.3497	0.4	8466	14	5156.6817	0.1	< 3.0	(0.0)	0.0000	3.0	17.0	0.6	24.8985	0.9	1.8	0.5	3.3852	0.7	12.7	0.3	34.0326	0.5	12.3	0.3	43.8778	0.5	< 0.5	(0.0)	0.0000	0.5	1.0	0.2	5.8190	0.3	0.3	0.1	1.8829	0.2	2.9	0.1	21.7136	0.2	0.2	0.1	4.2165	0.2	5.1	0.1	71.6007	0.2	2.9	0.1	47.3432	0.3	295.5	1.1	654.2438	0.2	10.9	0.3	26.2271	0.7	1.6	0.2	7.1907	0.9					< 0.5	(0.0)	0.0000	0.5	< 0.3	(0.3)	0.7227	0.3	< 0.5	(0.0)	1.4945	0.5	1.9	0.1	33.7363	0.8	2.1	0.3	5.2307	0.7	4.2	0.2	16.7089	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	8.5137	0.7	< 1.0	(0.0)	7.4235	1.0	< 1.5	(0.0)	0.0000	1.5	< 2.0	(0.0)	15.8636	2.0	8.0	0.6	9.2142	2.0	< 1.6	(0.0)	21.6234	1.6	< 1.2	(0.5)	3.7057	1.2																	3.3	0.3	7.3814	0.7	< 0.7	(0.0)	4.1264	0.7	< 0.7	(0.0)	0.1202	0.7	3.1	0.3	10.2058	0.4	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	5.6788	0.4	
Eu.E1.T.4.0-10.16	TQ Powders	7/31/2018 11:08:56 AM	8.7112	< 0.010	(0.0)	1.8335	0.0100	0.0968	0.0032	6.1923	0.010	16.76	0.04	910.0496	0.0048	22.31	0.03	2206.1144	0.00001	0.03390	0.00067	12.7745	0.0015	0.05705	0.00074	21.5519	0.00028	0.00503	0.00028	4.9217	0.00057	0.04451	0.00037	110.9340	0.00026	0.1895	0.0006	792.3748	0.00100					8629	10	7998.2106	0.1	< 1.0	(0.0)	0.0000	1.0	31.7	0.3	80.9594	0.4	38.5	0.4	119.5965	0.4	11620	20	7308.2173	0.1	< 3.0	(0.0)	0.8600	3.0	19.0	0.6	27.9920	0.9	2.6	0.5	4.9350	0.7	17.5	0.4	47.4042	0.5	18.4	0.4	65.2192	0.5	< 0.5	(0.0)	0.0000	0.5	3.1	0.2	17.3440	0.3	0.8	0.1	4.9964	0.2	5.8	0.1	42.9402	0.2	0.6	0.1	9.7368	0.2	11.3	0.1	159.9867	0.2	4.4	0.1	68.1474	0.3	517.5	1.5	1146.5916	0.1	20.5	0.4	46.3150	0.7	3.8	0.3	12.8053	1.0					0.6	0.2	2.3059	0.5	< 0.3	(0.3)	0.8218	0.3	< 0.5	(0.0)	1.7295	0.5	1.8	0.1	33.4607	0.8	2.5	0.3	6.2677	0.7	3.9	0.2	16.0435	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	14.6452	0.7	< 1.0	(0.0)	7.7764	1.0	< 1.5	(0.0)	0.0000	1.5	< 2.0	(0.0)	14.0809	2.0	14.5	0.9	13.2896	2.0	< 1.6	(0.0)	20.5179	1.6	< 1.2	(0.0)	3.1842	1.2																	2.8	0.3	6.4605	0.7	< 0.7	(0.0)	4.0852	0.7	< 0.7	(0.0)	0.0000	0.7	3.2	0.3	10.2999	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	5.1192	0.4	
Eu.E1.Ee1.2.0-10.16	TQ Powders	7/31/2018 10:55:07 AM	8.6364	< 0.010	(0.0)	1.9200	0.0100	0.0789	0.0028	5.9173	0.011	16.15	0.04	871.6372	0.0049	21.82	0.03	2174.3591	0.00001	0.05144	0.00092	14.7113	0.0014	0.06763	0.00080	25.9163	0.00016	0.01042	0.00034	8.6682	0.00057	0.04768	0.00038	120.8381	0.00026	0.2738	0.0007	1164.0773	0.00001					7939	9	7478.6850	0.1	< 1.0	(0.0)	0.0000	1.0	31.5	0.3	80.4037	0.4	53.4	0.4	169.1596	0.4	12390	20	7927.4807	0.1	< 10	(5.5)	1.9495	10	18.0	0.6	26.8805	0.9	2.6	0.5	5.0852	0.7	19.1	0.4	52.1932	0.5	18.1	0.3	64.8805	0.5	1.4	0.3	3.7340	0.5	3.2	0.2	17.8963	0.3	0.8	0.1	4.8170	0.2	7.3	0.1	54.2253	0.2	0.4	0.1	7.5608	0.2	14.6	0.1	207.8239	0.2	3.7	0.1	59.4136	0.3	423.4	1.4	942.4674	0.1	17.3	0.4	39.8097	0.7	2.9	0.3	10.5328	1.0					0.6	0.2	2.3831	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	1.7287	0.5	2.6	0.1	34.9570	0.8	3.0	0.3	7.5816	0.7	3.5	0.2	14.8916	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 3.0	(1.4)	20.9174	3.0	< 1.0	(0.0)	10.3476	1.0	< 1.5	(0.0)	24.2143	1.5	< 2.0	(0.0)	16.0276	2.0	10.5	0.8	10.4077	2.0	< 1.6	(0.0)	18.3192	1.6	< 1.2	(0.0)	1.6607	1.2																	3.0	0.4	6.9419	0.7	< 0.7	(0.0)	0.0000	0.7	< 0.1	(0.1)	0.3713	0.1	3.6	0.3	11.9343	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	7.0760	0.4	
Eu.E1.L.2.0-10.16	TQ Powders	7/31/2018 10:41:19 AM	8.6373	< 0.010	(0.0)	2.0917	0.0100	0.0960	0.0033	6.1616	0.011	14.47	0.03	792.4647	0.0052	22.64	0.03	2336.4273	0.00001	0.04825	0.00082	16.3899	0.0015	0.08672	0.00090	33.7800	0.00001	0.00890	0.00033	7.7359	0.00059	0.05251	0.00041	135.4485	0.00029	0.9034	0.0013	3890.8267	0.00001					7336	9	6875.7953	0.1	< 1.0	(0.0)	0.0000	1.0	27.5	0.3	72.5983	0.4	79.3	0.5	249.9615	0.4	11260	20	7175.3480	0.1	< 3.0	(0.0)	0.6704	3.0	18.8	0.6	28.0648	0.9	5.3	0.5	10.3142	0.7	23.6	0.4	64.4842	0.5	17.0	0.3	61.0083	0.5	< 0.5	(0.0)	0.0000	0.5	2.6	0.2	14.7699	0.3	0.7	0.1	4.5279	0.2	6.2	0.1	46.1043	0.2	0.8	0.1	12.4183	0.2	48.5	0.2	691.6885	0.2	4.3	0.1	68.1560	0.3	537.8	1.6	1198.9362	0.1	19.3	0.4	44.2476	0.7	2.7	0.3	10.0731	1.1					< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	4.0	0.1	37.4498	0.8	2.4	0.3	5.9821	0.7	4.2	0.2	16.8833	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	1.0382	0.5	< 0.7	(0.0)	12.0877	0.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	0.0000	1.5	< 2.0	(0.0)	22.5069	2.0	12.8	0.8	12.1913	2.0	< 1.6	(0.0)	19.7929	1.6	< 1.2	(0.0)	2.0731	1.2																	2.6	0.3	5.9203	0.7	< 0.7	(0.0)	4.7961	0.7	< 0.7	(0.0)	0.0000	0.7	3.1	0.3	10.1182	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	10.3657	0.4	
