ID,N_04_pct,C_04_pct,BD_04_gcm3
It.E2.L.2.20-40.04,0.109,1.707,0.92
It.E2.L.3.20-40.04,0.091,1.880,0.92
It.E2.L.4.20-40.04,0.098,1.914,0.92
It.E2.L.1.40-60.04,0.041,1.500,0.91
It.E2.L.2.40-60.04,0.055,1.535,0.91
It.E2.L.3.40-60.04,0.077,1.431,0.91
It.E2.L.4.40-60.04,0.070,1.569,0.91
It.E2.L.1.60-100.04,0.070,1.190,0.89
It.E2.L.2.60-100.04,0.052,1.224,0.89
It.E2.L.3.60-100.04,0.062,1.293,0.89
It.E2.L.4.60-100.04,0.059,1.466,0.89
It.N.1.0-10.04,0.340,5.663,0.55
It.N.2.0-10.04,0.343,5.732,0.55
It.N.3.0-10.04,0.358,5.732,0.55
It.N.4.0-10.04,0.297,5.524,0.55
It.N.1.10-20.04,0.221,3.439,0.65
It.N.2.10-20.04,0.254,4.204,0.65
It.N.3.10-20.04,0.272,4.551,0.65
It.N.4.10-20.04,0.218,3.161,0.65
It.N.1.20-40.04,0.125,2.160,0.74
It.N.2.20-40.04,0.132,2.137,0.74
It.N.3.20-40.04,0.139,2.345,0.74
It.N.4.20-40.04,0.125,1.998,0.74
It.N.1.40-60.04,0.078,1.442,0.81
It.N.2.40-60.04,0.082,1.442,0.81
It.N.3.40-60.04,0.100,1.859,0.81
It.N.4.40-60.04,0.110,1.615,0.81
It.N.1.60-100.04,0.067,1.129,0.83
It.N.2.60-100.04,0.060,0.990,0.83
It.N.3.60-100.04,0.057,0.990,0.83
It.N.4.60-100.04,0.060,1.129,0.83
JP.E1.E.1.0-10.04,0.046,0.721,NA
JP.E1.E.2.0-10.04,0.053,0.524,NA
JP.E1.E.3.0-10.04,0.059,0.721,NA
JP.E1.E.4.0-10.04,0.071,0.819,NA
JP.E1.E.1.10-20.04,0.034,0.557,NA
JP.E1.E.2.10-20.04,0.029,0.524,NA
JP.E1.E.3.10-20.04,0.028,0.524,NA
JP.E1.E.4.10-20.04,0.031,0.491,NA
JP.E1.E.1.20-40.04,0.028,0.262,NA
JP.E1.E.2.20-40.04,0.028,0.360,NA
JP.E1.E.3.20-40.04,0.028,0.360,NA
JP.E1.E.4.20-40.04,0.028,0.295,NA
JP.E1.E.1.40-60.04,0.019,0.328,NA
JP.E1.E.2.40-60.04,0.025,0.328,NA
JP.E1.E.3.40-60.04,0.022,0.328,NA
JP.E1.E.4.40-60.04,0.031,0.491,NA
JP.E1.E.1.60-100.04,0.019,0.164,NA
JP.E1.E.2.60-100.04,0.019,0.262,NA
JP.E1.E.3.60-100.04,0.022,0.262,NA
JP.E1.E.4.60-100.04,0.019,0.328,NA
JP.E2.E.1.0-10.04,0.065,0.874,NA
JP.E2.E.2.0-10.04,0.071,0.706,NA
JP.E2.E.3.0-10.04,0.053,0.773,NA
JP.E2.E.4.0-10.04,0.053,0.605,NA
JP.E2.E.1.10-20.04,0.046,0.370,NA
JP.E2.E.2.10-20.04,0.040,0.235,NA
JP.E2.E.3.10-20.04,0.040,0.370,NA
JP.E2.E.4.10-20.04,0.043,0.235,NA
JP.E2.E.1.20-40.04,0.049,0.605,NA
JP.E2.E.2.20-40.04,0.037,0.202,NA
JP.E2.E.3.20-40.04,0.031,0.437,NA
JP.E2.E.4.20-40.04,0.025,0.168,NA
