McMahon_aband
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Cr	Cr	Cr	Cr	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Co	Co	Co	Co	Ni	Ni	Ni	Ni	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Ga	Ga	Ga	Ga	Ge	Ge	Ge	Ge	As	As	As	As	Se	Se	Se	Se	Br	Br	Br	Br	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Ru	Ru	Ru	Ru	Rh	Rh	Rh	Rh	Pd	Pd	Pd	Pd	Ag	Ag	Ag	Ag	Cd	Cd	Cd	Cd	In	In	In	In	Sn	Sn	Sn	Sn	Sb	Sb	Sb	Sb	I	I	I	I	Cs	Cs	Cs	Cs	Ba	Ba	Ba	Ba	Ta	Ta	Ta	Ta	W	W	W	W	Ir	Ir	Ir	Ir	Pt	Pt	Pt	Pt	Au	Au	Au	Au	Hg	Hg	Hg	Hg	Tl	Tl	Tl	Tl	Pb	Pb	Pb	Pb	Bi	Bi	Bi	Bi	
TM.A.1.20-40.16	TQ Powders	8/22/2018 5:16:56 PM	9.9306	0.0702	0.0025	5.7500	0.011	16.94	0.04	871.5663	0.00065	19.82	0.03	1892.0365	0.00001	0.02198	0.00063	8.1157	0.0016	0.01330	0.00047	5.1740	0.00059	0.00261	0.00021	3.2866	0.00063	0.05028	0.00039	125.0368	0.00024	0.00185	0.00007	15.4936	0.00021	7595	9	7084.0630	0.1	61.6	0.5	148.1987	0.3	156.1	0.6	489.2148	0.4	30100	30	18909.4688	0.1	< 11	(0.0)	1.6582	11	21.7	0.7	29.3134	1.1	8.5	0.6	14.4106	0.8	12.5	0.4	29.7948	0.5	15.6	0.4	49.6294	0.6	< 0.5	(0.5)	1.2196	0.5	5.3	0.2	25.7508	0.3	< 0.5	(0.0)	0.0000	0.5	4.9	0.1	31.8916	0.2	2.7	0.1	32.9294	0.2	360.0	1.3	733.4790	0.1	23.7	0.4	49.1404	0.8	4.1	0.3	13.0778	1.0	1.3	0.2	4.2688	0.5	< 0.5	(0.0)	0.0000	0.5	0.4	0.1	2.7759	0.3	3.9	0.1	37.1483	0.8	3.0	0.3	7.3655	0.7	4.0	0.2	16.3596	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	1.3078	0.5	< 0.7	(0.0)	13.4232	0.7	< 1.0	(0.0)	7.5382	1.0	< 1.5	(0.0)	27.9569	1.5	< 1.6	(0.0)	19.1607	1.6	< 1.4	(0.7)	4.1509	1.4									2.1	0.4	4.3649	0.8	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0000	0.7	7.0	0.4	19.9309	0.5	< 0.5	(0.0)	0.0000	0.5	
TM.A.4.0-10.16	TQ Powders	8/22/2018 5:30:45 PM	9.6395	0.0642	0.0023	5.6957	0.011	15.70	0.04	829.9571	0.0052	22.36	0.03	2197.8988	0.00001	0.03251	0.00089	8.6082	0.0016	0.01946	0.00053	7.4025	0.00056	0.00257	0.00022	3.2390	0.00063	0.05712	0.00041	140.3975	0.00023	0.00408	0.00011	23.3052	0.00022	6701	8	6180.7532	0.1	67.4	0.5	158.7997	0.5	132.0	0.6	410.5346	0.5	25250	30	15779.5299	0.1	< 3.0	(0.0)	1.0082	3.0	20.9	0.7	28.7024	1.0	7.4	0.6	12.8126	0.8	10.8	0.3	26.5600	0.5	11.9	0.3	39.2781	0.6	0.7	0.3	1.5963	0.6	4.2	0.2	21.1409	0.3	< 0.5	(0.0)	0.0000	0.5	4.1	0.1	27.4107	0.2	2.5	0.1	31.4120	0.2	250.2	1.1	527.3210	0.4	19.3	0.4	41.8021	0.7	1.9	0.2	7.9605	0.9	0.8	0.2	2.8880	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	4.3	0.1	38.2970	0.8	2.6	0.3	6.8374	0.6	3.9	0.2	16.6493	0.6	< 0.5	(0.0)	0.0000	0.5	< 1.2	(0.4)	4.4801	1.2	< 0.7	(0.0)	11.6384	0.7	< 1.0	(0.0)	7.3681	1.0	< 1.5	(0.0)	27.0905	1.5	< 1.6	(0.0)	20.9938	1.6	< 1.2	(0.0)	3.0036	1.2									2.7	0.4	5.6712	0.7	< 0.7	(0.0)	0.0000	0.7	< 0.3	(0.3)	0.9767	0.3	6.4	0.4	18.7254	0.5	< 0.5	(0.0)	0.0000	0.5	
TM.A.3.0-10.16	TQ Powders	8/22/2018 5:44:35 PM	9.5729	0.0561	0.0021	5.5733	0.011	15.96	0.04	833.9324	0.0041	21.54	0.03	2093.1152	0.00001	0.02436	0.00066	8.5581	0.0016	0.01839	0.00051	7.0399	0.00055	0.00306	0.00023	3.5715	0.00063	0.04897	0.00038	120.7358	0.00023	0.00425	0.00011	23.9474	0.00021	6676	8	6174.2060	0.1	50.6	0.5	122.1280	0.3	145.8	0.6	454.7414	0.4	24750	30	15529.0445	0.1	< 3.0	(0.0)	1.1805	3.0	20.7	0.6	28.5853	1.0	6.1	0.6	10.5719	0.8	11.1	0.3	27.4575	0.5	12.1	0.3	39.9900	0.6	< 0.4	(0.4)	0.9381	0.4	4.5	0.2	23.0411	0.3	< 0.5	(0.0)	0.0000	0.5	4.1	0.1	27.3627	0.2	2.2	0.1	27.7948	0.2	351.6	1.3	744.5968	0.1	18.2	0.4	40.1140	0.8	1.7	0.2	7.5276	1.0	1.0	0.2	3.5087	0.5	< 0.4	(0.4)	1.1945	0.4	0.5	0.1	3.2972	0.5	4.4	0.1	38.4218	0.8	2.6	0.3	6.7562	0.7	4.2	0.2	17.4939	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	5.9972	0.7	< 1.0	(0.0)	8.8216	1.0	< 1.5	(0.0)	22.6325	1.5	< 1.6	(0.0)	21.0174	1.6	< 1.3	(0.7)	4.0791	1.3									2.3	0.4	4.7853	0.7	< 0.7	(0.0)	0.0000	0.7	< 0.4	(0.4)	1.1489	0.4	6.9	0.4	20.4377	0.5	< 0.5	(0.0)	0.0000	0.5	
TM.A.2.0-10.16	TQ Powders	8/22/2018 5:58:23 PM	9.6538	0.0338	0.0013	5.2596	0.011	15.52	0.04	793.3059	0.0041	21.41	0.03	2036.0049	0.00001	0.03160	0.00082	9.1435	0.0015	0.02202	0.00055	8.1710	0.00054	0.00111	0.00013	2.2523	0.00063	0.04839	0.00038	116.0133	0.00023	0.00491	0.00012	25.5335	0.00021	6244	8	5602.3163	0.1	56.3	0.5	130.8650	0.5	142.5	0.6	431.6970	0.5	23270	30	14193.7492	0.1	< 3.0	(0.0)	0.5490	3.0	19.1	0.6	26.1875	1.0	4.8	0.5	8.2665	0.7	9.6	0.3	23.4010	0.5	12.4	0.3	40.5554	0.6	< 0.5	(0.0)	0.0000	0.5	3.1	0.2	15.3520	0.3	< 0.5	(0.0)	0.0000	0.5	3.2	0.1	21.2877	0.2	2.0	0.1	25.1413	0.2	312.4	1.2	656.1711	0.2	18.8	0.4	40.7580	0.8	2.3	0.3	8.9650	0.9	0.8	0.2	2.9015	0.5	< 0.5	(0.0)	0.0000	0.5	0.4	0.1	2.9015	0.4	4.0	0.1	37.7077	0.8	2.6	0.3	6.7331	0.6	3.4	0.2	15.0781	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	11.6434	0.7	< 1.0	(0.0)	7.6259	1.0	< 1.5	(0.0)	17.9921	1.5	< 1.6	(0.0)	19.4542	1.6	< 1.2	(0.0)	2.7658	1.2									2.9	0.4	5.9357	0.7	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0000	0.7	5.5	0.3	16.1704	0.5	< 0.5	(0.0)	0.0000	0.5	
TM.N.4.60-100.16	TQ Powders	8/23/2018 9:32:20 AM	10.9049	0.3093	0.0082	8.9570	0.012	18.46	0.04	967.2407	0.0011	17.25	0.03	1697.2459	0.00001	0.03297	0.00077	11.6305	0.0016	0.00675	0.00039	3.1741	0.00066	0.00086	0.00012	2.1524	0.00064	0.5683	0.0013	1529.8438	0.00001	0.00327	0.00015	27.1949	0.00050	8853	10	8908.0289	0.1	81.8	0.7	210.1375	0.3	139.8	0.6	468.8262	0.4	48260	50	30449.9474	0.1	11.7	2.7	3.6595	11	43.4	0.9	51.7129	1.2	45.5	0.9	68.6661	0.9	21.1	0.5	45.2591	0.6	20.5	0.5	60.6689	0.7	< 0.5	(0.0)	0.0000	0.5	4.7	0.3	21.1037	0.4	< 0.5	(0.0)	0.0000	0.5	3.1	0.2	18.8005	0.3	15.8	0.2	169.6133	0.3	531.5	1.7	952.6486	0.1	28.8	0.5	52.9771	1.0	1.6	0.3	6.7268	1.2	0.7	0.2	2.3607	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	3.7	0.1	36.6804	0.9	2.4	0.3	5.8384	0.7	3.8	0.2	15.5225	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	2.5511	0.5	< 0.7	(0.0)	7.8184	0.7	< 1.0	(0.0)	12.5018	1.0	207.4	2.5	331.9001	8.5	< 1.6	(0.0)	21.6766	1.6	1.7	0.3	5.3081	1.5									2.0	0.5	3.6829	0.9	< 0.7	(0.0)	3.2854	0.7	< 0.7	(0.0)	0.0351	0.7	19.7	0.6	47.8313	0.6	< 0.5	(0.0)	0.0000	0.5	
TM.N.3.60-100.16	TQ Powders	8/23/2018 9:47:20 AM	10.4636	0.2339	0.0068	7.9357	0.012	18.31	0.04	959.0720	0.00093	17.70	0.03	1738.9292	0.00001	0.02492	0.00061	10.5764	0.0016	0.00783	0.00042	3.4629	0.00064	0.00110	0.00013	2.3200	0.00064	0.3231	0.0009	867.9087	0.00001	0.00237	0.00011	22.0382	0.00040	8580	10	8685.0246	0.1	72.2	0.6	188.3801	0.3	151.1	0.6	511.7536	0.4	43320	40	27576.9111	0.1	< 11	(8.2)	3.0876	10	39.5	0.8	48.6528	1.2	42.1	0.8	65.8450	0.9	15.4	0.4	34.3611	0.6	21.9	0.4	67.0848	0.6	< 0.5	(0.0)	0.0000	0.5	5.3	0.3	24.3381	0.3	< 0.5	(0.0)	0.0000	0.5	3.1	0.2	19.5898	0.3	9.9	0.2	110.5799	0.3	554.1	1.8	1020.2735	0.1	29.6	0.5	55.7332	0.9	2.1	0.3	7.7493	1.2	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	1.7577	0.5	3.1	0.1	35.7698	0.9	2.0	0.3	4.9652	0.7	4.0	0.2	16.3581	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	10.0971	0.7	< 1.0	(0.0)	0.0000	1.0	81.9	1.8	180.7992	8.8	< 1.6	(0.0)	14.3619	1.6	< 1.5	(0.8)	4.3975	1.5									1.8	0.4	3.5905	0.9	< 0.7	(0.0)	2.2923	0.7	< 0.7	(0.0)	0.0000	0.7	13.7	0.5	34.4078	0.6	< 0.5	(0.0)	0.0000	0.5	
TM.N.4.0-10.16	TQ Powders	8/23/2018 10:02:18 AM	10.0879	0.3135	0.0083	8.8957	0.012	16.99	0.04	872.1408	0.0012	19.25	0.03	1883.8494	0.00001	0.04369	0.00096	12.4385	0.0016	0.01598	0.00050	6.6878	0.00060	0.00315	0.00024	3.7619	0.00065	0.4904	0.0012	1291.1088	0.00001	0.00539	0.00019	33.1692	0.00047	6628	8	6569.2388	0.1	74.9	0.6	190.9485	0.3	135.1	0.6	451.4633	0.4	36680	40	23007.6283	0.1	< 10	(6.9)	2.7492	10	33.0	0.8	41.9912	1.2	34.4	0.8	55.2696	0.8	16.0	0.4	36.5955	0.6	16.8	0.4	53.4787	0.6	< 0.5	(0.0)	0.0000	0.5	3.0	0.3	14.4990	0.3	< 0.5	(0.0)	0.0000	0.5	4.0	0.2	25.9180	0.2	11.6	0.2	132.6814	0.3	424.6	1.5	798.3616	0.1	23.5	0.5	45.3741	0.9	3.1	0.3	9.9960	1.1	0.8	0.2	2.6951	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.6	(0.3)	2.4421	0.5	1.8	0.1	33.4549	0.8	2.3	0.3	5.8584	0.7	3.9	0.2	15.9429	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	2.2016	0.5	< 0.7	(0.0)	10.1098	0.7	< 1.0	(0.0)	7.6298	1.0	158.6	2.3	271.4728	8.8	< 1.6	(0.0)	18.2407	1.6	2.1	0.3	5.5897	1.4									1.5	0.4	3.1029	0.8	< 0.7	(0.0)	2.6808	0.7	< 0.7	(0.0)	0.0000	0.7	17.2	0.5	44.4439	0.6	< 0.5	(0.0)	0.0000	0.5	
TM.N.3.0-10.16	TQ Powders	8/23/2018 10:17:18 AM	9.9161	0.2162	0.0061	7.7201	0.011	17.03	0.04	876.0757	0.00083	18.74	0.03	1801.0946	0.00001	0.04161	0.00095	11.3281	0.0015	0.01672	0.00049	6.9082	0.00058	0.00306	0.00023	3.6407	0.00064	0.2793	0.0009	708.7768	0.00001	0.00436	0.00015	26.9429	0.00037	6825	8	6499.2397	0.1	64.1	0.6	156.9897	0.3	133.9	0.6	429.0927	0.4	31940	30	20494.1748	0.1	< 3.0	(0.0)	1.2903	3.0	28.7	0.7	38.1959	1.1	24.5	0.7	41.6076	0.8	13.9	0.4	33.2642	0.6	15.4	0.4	49.0871	0.6	0.9	0.3	2.1323	0.6	5.6	0.3	28.0154	0.3	< 0.5	(0.0)	0.0000	0.5	4.9	0.2	32.2035	0.2	7.2	0.1	89.0872	0.2	334.8	1.3	692.6133	0.2	19.1	0.4	41.0267	0.8	2.5	0.3	9.2705	0.9	0.5	0.1	1.9910	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.3)	2.4514	0.5	2.1	0.1	34.0583	0.8	2.2	0.3	5.7614	0.7	3.5	0.2	15.3679	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	2.1528	0.5	< 0.7	(0.0)	0.0000	0.7	< 1.0	(0.0)	6.9809	1.0	53.8	1.4	149.1495	8.4	< 1.6	(0.0)	21.2138	1.6	< 1.2	(0.0)	3.1930	1.2									2.5	0.4	5.1066	0.8	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0000	0.7	18.1	0.5	51.4928	0.5	< 0.5	(0.0)	0.0000	0.5	
TM.N.4.20-40.16	TQ Powders	8/23/2018 10:32:17 AM	10.8200	0.3121	0.0082	9.1670	0.011	17.37	0.04	946.8219	0.0013	17.83	0.03	1830.8034	0.00001	0.03345	0.00076	12.2935	0.0016	0.01081	0.00045	4.8900	0.00064	0.00104	0.00013	2.3012	0.00064	0.5735	0.0013	1577.5106	0.00001	0.00377	0.00016	30.2479	0.00050	8790	10	9019.8787	0.1	79.2	0.7	207.8534	0.3	144.7	0.6	494.1930	0.4	48960	50	31603.4239	0.1	< 11	(5.1)	2.8534	10	43.3	0.9	52.2654	1.2	49.1	0.9	75.1396	0.9	21.2	0.5	45.9949	0.6	22.1	0.5	65.6634	0.7	< 0.5	(0.0)	0.0000	0.5	5.7	0.3	25.7276	0.4	< 0.5	(0.0)	0.0000	0.5	5.9	0.2	35.9669	0.3	16.5	0.2	179.6703	0.3	563.5	1.8	1024.6262	0.1	29.8	0.5	55.6098	0.9	3.7	0.4	11.2224	1.2	1.4	0.2	4.3559	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	4.1	0.1	37.3075	0.9	2.2	0.3	5.3601	0.7	4.0	0.2	16.1306	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	10.2432	0.7	< 1.0	(0.0)	7.4188	1.0	196.7	2.5	319.1475	8.6	< 1.6	(0.0)	20.5140	1.6	1.4	0.2	5.0962	1.3									2.4	0.5	4.5208	0.9	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0000	0.7	19.3	0.6	47.4627	0.6	< 0.5	(0.0)	0.0000	0.5	
TM.N.1.20-40.16	TQ Powders	8/23/2018 10:47:15 AM	10.3543	0.1173	0.0040	6.4181	0.011	18.45	0.04	996.0028	0.00076	16.72	0.03	1678.9187	0.00001	0.02861	0.00073	10.1390	0.0015	0.01244	0.00046	5.4487	0.00062	0.00085	0.00011	2.1598	0.00061	0.1107	0.0006	307.0282	0.00022	0.00274	0.00009	24.9125	0.00026	9746	10	10212.4309	0.1	82.5	0.6	218.7591	0.3	153.0	0.6	533.6680	0.4	44890	40	29450.4377	0.1	< 10	(3.7)	2.5099	10	38.5	0.8	48.3148	1.2	35.0	0.8	55.3680	0.9	24.5	0.5	55.2518	0.6	23.1	0.4	71.2870	0.6	1.2	0.3	2.8352	0.6	7.0	0.3	32.5120	0.3	< 0.5	(0.0)	0.0000	0.5	8.1	0.2	51.5683	0.3	5.9	0.1	65.9535	0.3	434.8	1.5	812.3246	0.1	31.5	0.5	59.2985	0.9	3.1	0.3	10.1172	1.1	1.5	0.2	4.7075	0.5	0.8	0.2	2.0937	0.6	0.9	0.1	4.2913	0.5	3.5	0.1	36.4634	0.8	3.1	0.3	7.7504	0.7	4.0	0.2	16.4501	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	13.3552	0.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	65.1503	1.5	< 1.6	(0.0)	18.1965	1.6	1.7	0.3	5.3683	1.4									2.4	0.4	4.7525	0.9	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0000	0.7	13.8	0.5	35.2891	0.6	< 0.5	(0.0)	0.0000	0.5	
TM.N.3.20-40.16	TQ Powders	8/23/2018 11:02:15 AM	10.4981	0.2176	0.0063	7.5512	0.012	17.99	0.04	894.7988	0.0011	19.06	0.03	1802.9370	0.00001	0.03203	0.00077	10.7185	0.0016	0.01050	0.00045	4.3270	0.00064	0.00102	0.00013	2.2389	0.00064	0.2873	0.0009	740.4031	0.00001	0.00308	0.00012	23.6307	0.00037	7560	9	7372.3455	0.1	69.0	0.6	173.9068	0.3	138.4	0.6	454.5428	0.4	40670	40	24979.8141	0.1	< 11	(6.8)	2.7858	11	36.0	0.8	44.0597	1.2	36.4	0.8	56.2307	0.9	15.4	0.4	33.8640	0.6	19.3	0.4	59.0622	0.6	< 0.5	(0.0)	0.0000	0.5	5.0	0.3	22.4923	0.3	< 0.5	(0.0)	0.0000	0.5	5.2	0.2	32.6423	0.3	8.9	0.2	98.3494	0.3	482.4	1.6	873.8212	0.1	27.2	0.5	50.2358	0.9	3.3	0.3	10.3146	1.2	0.9	0.2	2.8851	0.5	< 0.5	(0.0)	0.0000	0.5	0.6	0.1	3.3061	0.5	3.7	0.1	36.7389	0.8	2.1	0.3	5.2502	0.7	3.8	0.2	15.5524	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	2.7118	0.5	< 0.7	(0.0)	8.1105	0.7	< 1.0	(0.0)	6.8971	1.0	71.6	1.6	166.1113	8.7	< 1.6	(0.0)	17.8340	1.6	1.0	0.2	4.5099	0.9									2.1	0.4	4.0760	0.9	< 0.7	(0.0)	3.0599	0.7	< 0.7	(0.0)	0.0000	0.7	13.0	0.5	32.1514	0.6	< 0.5	(0.0)	0.0000	0.5	
TM.N.2.20-40.16	TQ Powders	8/23/2018 11:17:17 AM	10.1923	0.2361	0.0068	7.7974	0.012	17.00	0.04	851.4360	0.0026	19.94	0.03	1913.9249	0.00001	0.03349	0.00082	10.5019	0.0016	0.01099	0.00044	4.5559	0.00062	0.00120	0.00014	2.3652	0.00064	0.3308	0.0009	852.9458	0.00001	0.00311	0.00013	22.7539	0.00039	6586	8	6428.3377	0.1	66.4	0.6	167.5887	0.3	172.8	0.6	569.1779	0.4	36640	40	22606.5408	0.1	10.9	2.7	3.2304	10	33.0	0.8	41.3650	1.1	36.2	0.8	57.4508	0.8	17.1	0.4	38.5882	0.6	18.1	0.4	56.9198	0.6	< 0.5	(0.0)	0.0000	0.5	5.4	0.3	25.2571	0.3	< 0.5	(0.0)	0.0000	0.5	5.0	0.2	32.3375	0.2	10.0	0.2	113.4745	0.2	428.6	1.5	794.7007	0.1	25.9	0.5	49.0792	0.9	3.7	0.3	11.2476	1.1	1.1	0.2	3.4675	0.5	< 0.1	(0.1)	0.2361	0.1	0.6	0.1	3.3308	0.5	3.2	0.1	35.9425	0.8	2.6	0.3	6.4503	0.7	4.3	0.2	17.1013	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	6.9225	0.7	< 1.0	(0.0)	0.0000	1.0	113.9	2.0	217.8675	8.8	< 1.6	(0.0)	17.0040	1.6	0.9	0.1	4.3589	0.8									2.5	0.4	4.9120	0.8	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0000	0.7	14.0	0.5	35.5126	0.6	< 0.5	(0.0)	0.0000	0.5	
TM.N.1.10-20.16	TQ Powders	8/23/2018 11:32:15 AM	9.8122	0.1215	0.0041	6.5082	0.011	16.99	0.04	915.4759	0.0039	20.12	0.03	2009.6619	0.00001	0.03525	0.00089	9.9852	0.0016	0.01582	0.00049	6.3827	0.00059	0.00179	0.00018	2.7803	0.00063	0.09417	0.00051	243.9521	0.00021	0.00456	0.00012	28.5916	0.00025	7771	9	7579.7381	0.1	72.1	0.6	179.2288	0.3	130.5	0.6	427.0313	0.4	32420	30	21236.1979	0.1	< 3.0	(0.0)	1.6111	3.0	29.2	0.7	39.3790	1.1	22.8	0.7	39.2584	0.8	15.1	0.4	36.5952	0.5	16.5	0.4	53.2214	0.6	1.4	0.3	3.4195	0.6	5.9	0.2	29.2740	0.3	< 0.5	(0.0)	0.0000	0.5	5.7	0.2	37.8885	0.2	4.1	0.1	51.9281	0.2	304.5	1.2	636.7579	0.3	21.4	0.4	46.0152	0.8	2.2	0.3	8.6411	0.9	0.9	0.2	3.2716	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.3)	2.4974	0.5	3.0	0.1	35.8007	0.8	2.8	0.3	7.2176	0.7	3.4	0.2	15.1719	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	9.2655	0.7	< 1.0	(0.0)	10.7140	1.0	< 1.5	(0.0)	58.8021	1.5	< 1.6	(0.0)	20.1443	1.6	< 1.4	(0.6)	4.1648	1.4									1.2	0.4	2.6633	0.8	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0877	0.7	8.4	0.4	24.4625	0.5	< 0.5	(0.0)	0.0000	0.5	
TM.N.2.10-20.16	TQ Powders	8/23/2018 11:47:16 AM	10.1526	0.2348	0.0067	7.8147	0.012	17.58	0.04	888.0678	0.0011	18.84	0.03	1811.3017	0.00001	0.03834	0.00089	11.3030	0.0016	0.01294	0.00047	5.4237	0.00061	0.00162	0.00018	2.6703	0.00065	0.3589	0.0010	939.2899	0.00001	0.00401	0.00015	27.2168	0.00040	7091	8	7013.6231	0.1	68.0	0.6	173.2855	0.3	134.6	0.6	448.8186	0.4	37390	40	23330.7905	0.1	< 10	(7.8)	2.8866	10	35.3	0.8	44.3017	1.2	35.6	0.8	56.7062	0.8	16.5	0.4	37.4252	0.6	17.1	0.4	54.2432	0.6	< 0.5	(0.0)	0.0000	0.5	3.2	0.3	15.3245	0.3	< 0.5	(0.0)	0.0000	0.5	4.8	0.2	30.8050	0.2	10.4	0.2	118.2271	0.2	414.9	1.5	774.1285	0.1	24.9	0.5	47.3621	0.9	3.0	0.3	9.8365	1.1	1.0	0.2	3.3126	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	1.5425	0.5	3.8	0.1	37.0704	0.8	2.3	0.3	5.8792	0.7	4.3	0.2	17.3594	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	8.7619	0.7	< 1.0	(0.0)	8.6986	1.0	91.8	1.9	192.5586	8.9	< 1.6	(0.0)	18.6680	1.6	1.1	0.2	4.6029	1.0									2.3	0.4	4.4692	0.8	< 0.7	(0.0)	4.4915	0.7	< 0.7	(0.0)	0.3344	0.7	15.9	0.5	40.4455	0.6	< 0.5	(0.0)	0.0000	0.5	
TM.N.3.10-20.16	TQ Powders	8/23/2018 12:02:17 PM	10.3830	0.2336	0.0067	7.9202	0.012	18.22	0.04	951.0749	0.00097	18.25	0.03	1785.6998	0.00001	0.03375	0.00080	11.2541	0.0016	0.01418	0.00048	5.9300	0.00062	0.00250	0.00021	3.3204	0.00064	0.3191	0.0009	849.1180	0.00001	0.00423	0.00015	29.7034	0.00039	8277	9	8303.1260	0.1	74.6	0.6	191.8738	0.3	160.7	0.6	540.3906	0.4	41490	40	26260.1149	0.1	10.2	2.6	3.2812	9.2	36.5	0.8	45.3902	1.2	37.8	0.8	59.5063	0.9	16.1	0.4	35.9339	0.6	19.1	0.4	58.9936	0.6	2.4	0.3	5.5826	0.6	7.4	0.3	34.0883	0.3	< 0.5	(0.0)	0.0000	0.5	6.6	0.2	41.9039	0.3	8.8	0.2	99.1431	0.3	475.3	1.6	879.5903	0.1	28.0	0.5	52.5976	0.9	3.6	0.3	11.1181	1.2	1.0	0.2	3.1329	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	3.9	0.1	37.1113	0.9	2.2	0.3	5.5399	0.7	3.7	0.2	15.4100	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	1.7957	0.5	< 0.7	(0.0)	7.8323	0.7	< 1.0	(0.0)	6.8899	1.0	72.7	1.7	168.7454	8.9	< 1.6	(0.0)	17.8986	1.6	1.8	0.3	5.3434	1.4									1.8	0.4	3.5547	0.8	< 0.7	(0.0)	0.0114	0.7	< 0.7	(0.0)	0.0000	0.7	13.3	0.5	33.7237	0.6	< 0.5	(0.0)	0.0000	0.5	
