"","ID","N_pct","N_mg","N_area","C_pct","C_mg","C_area","nobs","Wt_mg","File.Name","CN_avgd"
"62","Bp.E1.Ee2.4.40-60.16",0.1042,0.0282,11.7232,1.306,0.3539,234.4173,1,27.102,"04-Aug-20172913_05.prm",0
"63","Bp.E1.Ee2.4.60-100.16",0.112,0.0302,12.1941,1.1574,0.312,207.106,1,26.955,"04-Aug-20174714_49.prm",0
"64","Bp.E1.L.1.0-10.16",0.135,0.039,11.4645,2.452,0.7086,347.4054,1,28.898,"29-Jun-201719.prm",0
"65","Bp.E1.L.1.20-40.16",0.0991,0.0285,9.5735,1.7584,0.505,247.9896,1,28.72,"29-Jun-201730.prm",0
"66","Bp.E1.L.1.40-60.16",0.1038,0.0296,12.0451,1.5331,0.4366,288.2178,1,28.478,"04-Aug-20171611_50.prm",0
"67","Bp.E1.L.1.60-100.16",0.0973,0.0255,11.0655,1.2507,0.328,217.5534,1,26.228,"04-Aug-20173213_22.prm",0
"68","Bp.E1.L.2.0-10.16",0.1117,0.03,9.8408,1.7285,0.4635,227.7398,1,26.818,"29-Jun-20175.prm",0
"69","Bp.E1.L.2.10-20.16",0.06725,0.019,12.64715,1.7855,0.50115,331.7016,2,NA,"02-Aug-20174514_16.prm",1
"70","Bp.E1.L.2.20-40.16",0.123,0.0324,10.2772,1.5746,0.4147,203.8667,1,26.334,"29-Jun-201743.prm",0
"71","Bp.E1.L.2.40-60.16",0.1026,0.0284,11.7584,1.395,0.386,255.2848,1,27.671,"04-Aug-20171812_02.prm",0
"72","Bp.E1.L.2.60-100.16",0.1027,0.0271,11.4409,1.2532,0.3302,218.9337,1,26.345,"04-Aug-20173613_45.prm",0
"73","Bp.E1.L.3.0-10.04",0.1441,0.0415,17.0849,1.9623,0.5656,371.3177,1,28.825,"14-Jun-201710.prm",0
"74","Bp.E1.L.3.0-10.16",0.1075,0.0285,9.5771,1.9244,0.5101,250.4704,1,26.506,"29-Jun-201711.prm",0
"75","Bp.E1.L.3.10-20.16",0.07045,0.01995,12.8658,1.79715,0.499,330.4358,2,NA,"02-Aug-20174914_39.prm",1
"76","Bp.E1.L.3.20-40.16",0.1651,0.0464,12.7866,1.6519,0.464,227.9488,1,28.087,"29-Jun-201739.prm",0
"77","Bp.E1.L.3.40-60.16",0.1076,0.029,11.9123,1.3817,0.3728,246.667,1,26.978,"04-Aug-20172212_25.prm",0
"78","Bp.E1.L.3.60-100.16",0.1023,0.0279,11.6383,1.166,0.3179,210.9332,1,27.26,"04-Aug-20174014_08.prm",0
"79","Bp.E1.L.4.0-10.04",0.1671,0.0476,18.5284,2.2877,0.6512,427.0572,1,28.465,"14-Jun-20179.prm",0
"80","Bp.E1.L.4.0-10.16",0.1465,0.0386,11.3824,2.6115,0.6874,337.0373,1,26.321,"29-Jun-201726.prm",0
"81","Bp.E1.L.4.10-20.16",0.0916,0.02655,14.2523,2.0668,0.59875,394.8319,2,NA,"02-Aug-20175315_02.prm",1
"82","Bp.E1.L.4.20-40.16",0.1006,0.0271,9.3334,1.6869,0.4548,223.4762,1,26.961,"29-Jun-201733.prm",0
"83","Bp.E1.L.4.40-60.16",0.1188,0.0327,12.7932,1.6405,0.451,297.6019,1,27.492,"04-Aug-20172712_53.prm",0
"84","Bp.E1.L.4.60-100.16",0.1125,0.0307,12.3186,1.1646,0.3179,210.9255,1,27.292,"04-Aug-20174514_37.prm",0
"85","Bp.E1.T.1.0-10.16",0.1119,0.0307,9.9659,2.1049,0.5767,282.9837,1,27.397,"29-Jun-201720.prm",0
"86","Bp.E1.T.1.10-20.16",0.1027,0.0279,12.0952,1.9936,0.542,362.7003,1,27.188,"02-Aug-20174013_47.prm",0
"87","Bp.E1.T.1.20-40.16",0.0843,0.0239,8.7456,1.6252,0.4601,226.0423,1,28.309,"29-Jun-201727.prm",0
"88","Bp.E1.T.1.40-60.16",0.1055,0.0287,11.8244,1.4448,0.3923,259.3706,1,27.151,"04-Aug-20171511_45.prm",0
"89","Bp.E1.T.1.60-100.16",0.0958,0.0262,11.2229,1.257,0.3433,227.4674,1,27.309,"04-Aug-20173113_16.prm",0
"90","Bp.E1.T.2.0-10.16",0.1521,0.0439,12.3366,2.6667,0.7689,376.8733,1,28.835,"29-Jun-20176.prm",0
