"","X","stand","depth","year","ID","N_pct","C_pct","CN_avgd","measured_in","Eval_Date","Mass_coef","Mass_g","Mg_pct","Mg_int","Al_pct","Al_int","Si_pct","Si_int","P_pct","P_int","S_pct","S_int","Cl_pct","Cl_int","K_pct","K_int","Ca_pct","Ca_int","Ti_ppm","Ti_int","Mn_ppm","Mn_int","Fe_ppm","Fe_int","Cu_ppm","Cu_int","Zn_ppm","Zn_int","Rb_ppm","Rb_int","Sr_ppm","Sr_int","Zr_ppm","Zr_int","Nb_ppm","Nb_int","Mo_ppm","Mo_int","Pb_ppm","Pb_int","P_ppm","Ca_ppm","K_ppm","Mg_ppm","Fe_pct","site","LU","position","rep","inc_from","inc_to","elt","avgBD","BDsd","C_new","N_new","newest","oldmeas"
"21",21,"BO.E",50,"04","BO.E.2.40-60.04",0.062,0.71,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","E",NA,2,40,60,NA,1.25,NA,0.843977547222299,0.113100050312553,4,4
"22",22,"BO.E",50,"04","BO.E.1.40-60.04",0.062,0.993,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","E",NA,1,40,60,NA,1.25,NA,1.15088964788614,0.113100050312553,4,4
"23",23,"BO.E",50,"04","BO.E.3.40-60.04",0.062,0.852,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","E",NA,3,40,60,NA,1.25,NA,0.997975845081897,0.113100050312553,4,4
"24",24,"BO.E",50,"04","BO.E.4.40-60.04",0.052,0.993,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","E",NA,4,40,60,NA,1.25,NA,1.15088964788614,0.101772018252962,4,4
"25",25,"BO.E",80,"04","BO.E.3.60-100.04",0.052,0.852,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","E",NA,3,60,100,NA,1.3,NA,0.997975845081897,0.101772018252962,4,4
"26",26,"BO.E",80,"04","BO.E.4.60-100.04",0.055,0.781,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","E",NA,4,60,100,NA,1.3,NA,0.920976696152098,0.10517042787084,4,4
"27",27,"BO.E",80,"04","BO.E.2.60-100.04",0.062,0.71,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","E",NA,2,60,100,NA,1.3,NA,0.843977547222299,0.113100050312553,4,4
"28",28,"BO.E",80,"04","BO.E.1.60-100.04",0.052,0.674,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","E",NA,1,60,100,NA,1.3,NA,0.804935725229725,0.101772018252962,4,4
"29",29,"BO.P",15,"04","BO.P.3.10-20.04",0.12,1.774,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","P",NA,3,10,20,NA,1.22,NA,1.99788028611393,0.178802636258181,4,4
"30",30,"BO.P",15,"04","BO.P.4.10-20.04",0.127,1.987,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","P",NA,4,10,20,NA,1.22,NA,2.22887773290333,0.186732258699895,4,4
